library,type,cells
CrVg2wCD45CD90R1,1,1
CrVg2wCD45CD90R1,2,18
CrVg2wCD45CD90R1,3,7
CrVg2wCD45CD90R1,4,8
CrVg2wCD45CD90R1,5,9
CrVg2wCD45CD90R1,6,19
CrVg2wCD45CD90R1,7,9
CrVg2wCD45CD90R1,8,6
CrVg2wCD45CD90R1,9,2
CrVg2wCD45CD90R1,10,34
CrVg2wCD45CD90R1,11,1
CrVg2wCD45CD90R1,12,1
CrVg2wCD45CD90R1,13,1
CrVg2wCD45CD90R1,14,2
CrVg2wCD45CD90R1,16,6
CrVg2wCD45CD90R1,18,5
CrVg2wCD45CD90R1,19,2
CrVg2wCD45CD90R1,22,9
CrVg2wCD45CD90R1,24,2
CrVg2wCD45CD90R1,25,1
CrVg2wCD45CD90R1,27,6
CrVg2wCD45CD90R1,30,3
CrVg2wCD45CD90R1,31,8
CrVg2wCD45CD90R1,33,6
CrVg2wCD45CD90R1,34,3
CrVg2wCD45CD90R1,36,1
CrVg2wCD45CD90R1,37,1
CrVg2wCD45CD90R1,39,1
CrVg2wCD45CD90R1,40,1
CrVg2wCD45CD90R1,41,1
CrVg2wCD45CD90R1,42,2
CrVg2wCD45CD90R1,43,9
CrVg2wCD45CD90R2,1,5
CrVg2wCD45CD90R2,2,24
CrVg2wCD45CD90R2,3,9
CrVg2wCD45CD90R2,4,11
CrVg2wCD45CD90R2,5,17
CrVg2wCD45CD90R2,6,13
CrVg2wCD45CD90R2,7,7
CrVg2wCD45CD90R2,8,8
CrVg2wCD45CD90R2,9,4
CrVg2wCD45CD90R2,10,37
CrVg2wCD45CD90R2,11,2
CrVg2wCD45CD90R2,12,3
CrVg2wCD45CD90R2,13,2
CrVg2wCD45CD90R2,14,3
CrVg2wCD45CD90R2,15,2
CrVg2wCD45CD90R2,16,6
CrVg2wCD45CD90R2,17,1
CrVg2wCD45CD90R2,18,9
CrVg2wCD45CD90R2,19,3
CrVg2wCD45CD90R2,22,11
CrVg2wCD45CD90R2,24,4
CrVg2wCD45CD90R2,26,3
CrVg2wCD45CD90R2,27,9
CrVg2wCD45CD90R2,29,1
CrVg2wCD45CD90R2,30,10
CrVg2wCD45CD90R2,31,7
CrVg2wCD45CD90R2,32,7
CrVg2wCD45CD90R2,33,7
CrVg2wCD45CD90R2,34,2
CrVg2wCD45CD90R2,37,1
CrVg2wCD45CD90R2,39,3
CrVg2wCD45CD90R2,40,6
CrVg2wCD45CD90R2,41,1
CrVg2wCD45CD90R2,42,5
CrVg2wCD45CD90R2,43,7
CrVg2wCD90R1,1,49
CrVg2wCD90R1,2,379
CrVg2wCD90R1,3,186
CrVg2wCD90R1,4,295
CrVg2wCD90R1,5,144
CrVg2wCD90R1,6,247
CrVg2wCD90R1,7,231
CrVg2wCD90R1,8,150
CrVg2wCD90R1,9,40
CrVg2wCD90R1,10,521
CrVg2wCD90R1,11,27
CrVg2wCD90R1,12,60
CrVg2wCD90R1,13,49
CrVg2wCD90R1,14,28
CrVg2wCD90R1,15,5
CrVg2wCD90R1,16,59
CrVg2wCD90R1,17,24
CrVg2wCD90R1,18,93
CrVg2wCD90R1,19,71
CrVg2wCD90R1,20,17
CrVg2wCD90R1,21,19
CrVg2wCD90R1,22,190
CrVg2wCD90R1,23,10
CrVg2wCD90R1,24,27
CrVg2wCD90R1,25,5
CrVg2wCD90R1,26,8
CrVg2wCD90R1,27,83
CrVg2wCD90R1,28,5
CrVg2wCD90R1,29,6
CrVg2wCD90R1,30,73
CrVg2wCD90R1,31,112
CrVg2wCD90R1,32,42
CrVg2wCD90R1,33,72
CrVg2wCD90R1,34,7
CrVg2wCD90R1,35,4
CrVg2wCD90R1,36,2
CrVg2wCD90R1,37,5
CrVg2wCD90R1,38,4
CrVg2wCD90R1,39,23
CrVg2wCD90R1,40,35
CrVg2wCD90R1,41,5
CrVg2wCD90R1,42,38
CrVg2wCD90R1,43,87
CrVg2wCD90R1,44,2
CrVg2wCD90R2,1,30
CrVg2wCD90R2,2,269
CrVg2wCD90R2,3,53
CrVg2wCD90R2,4,42
CrVg2wCD90R2,5,150
CrVg2wCD90R2,6,183
CrVg2wCD90R2,7,169
CrVg2wCD90R2,8,70
CrVg2wCD90R2,9,56
CrVg2wCD90R2,10,411
CrVg2wCD90R2,11,9
CrVg2wCD90R2,12,35
CrVg2wCD90R2,13,18
CrVg2wCD90R2,14,28
CrVg2wCD90R2,15,11
CrVg2wCD90R2,16,43
CrVg2wCD90R2,17,17
CrVg2wCD90R2,18,46
CrVg2wCD90R2,19,47
CrVg2wCD90R2,20,10
CrVg2wCD90R2,21,16
CrVg2wCD90R2,22,123
CrVg2wCD90R2,23,3
CrVg2wCD90R2,24,18
CrVg2wCD90R2,25,5
CrVg2wCD90R2,27,48
CrVg2wCD90R2,28,1
CrVg2wCD90R2,29,3
CrVg2wCD90R2,30,57
CrVg2wCD90R2,31,69
CrVg2wCD90R2,32,27
CrVg2wCD90R2,33,118
CrVg2wCD90R2,34,5
CrVg2wCD90R2,35,9
CrVg2wCD90R2,36,1
CrVg2wCD90R2,37,3
CrVg2wCD90R2,38,8
CrVg2wCD90R2,39,17
CrVg2wCD90R2,40,33
CrVg2wCD90R2,41,5
CrVg2wCD90R2,42,20
CrVg2wCD90R2,43,16
CrVg2wCD90R2,44,2
CrVg2wCD90R2,45,1
