batch,type,cells
Batch1,1,561
Batch1,2,473
Batch1,3,376
Batch1,4,327
Batch1,5,314
Batch1,6,258
Batch1,7,298
Batch1,8,202
Batch1,9,231
Batch1,10,253
Batch1,11,192
Batch1,12,170
Batch1,13,174
Batch1,14,178
Batch1,15,162
Batch1,16,211
Batch1,17,140
Batch1,18,143
Batch1,19,133
Batch1,20,123
Batch1,21,162
Batch1,22,78
Batch1,23,137
Batch1,24,140
Batch1,25,124
Batch1,26,118
Batch1,27,117
Batch1,28,82
Batch1,29,92
Batch1,30,98
Batch1,31,61
Batch1,32,101
Batch1,33,50
Batch1,34,71
Batch1,35,59
Batch1,36,54
Batch1,37,57
Batch1,38,37
Batch1,39,38
Batch1,40,15
Batch1,41,21
Batch1,42,28
Batch1,43,17
Batch1,44,7
Batch1,45,11
Batch2,1,1350
Batch2,2,1224
Batch2,3,812
Batch2,4,662
Batch2,5,734
Batch2,6,763
Batch2,7,591
Batch2,8,561
Batch2,9,564
Batch2,10,495
Batch2,11,449
Batch2,12,461
Batch2,13,385
Batch2,14,406
Batch2,15,404
Batch2,16,348
Batch2,17,392
Batch2,18,429
Batch2,19,294
Batch2,20,313
Batch2,21,203
Batch2,22,298
Batch2,23,185
Batch2,24,239
Batch2,25,274
Batch2,26,251
Batch2,27,245
Batch2,28,255
Batch2,29,256
Batch2,30,160
Batch2,31,249
Batch2,32,172
Batch2,33,138
Batch2,34,97
Batch2,35,150
Batch2,36,98
Batch2,37,103
Batch2,38,101
Batch2,39,58
Batch2,40,86
Batch2,41,65
Batch2,42,46
Batch2,43,61
Batch2,44,32
Batch2,45,24
Batch3,1,932
Batch3,2,1055
Batch3,3,746
Batch3,4,839
Batch3,5,651
Batch3,6,542
Batch3,7,666
Batch3,8,483
Batch3,9,419
Batch3,10,397
Batch3,11,324
Batch3,12,307
Batch3,13,369
Batch3,14,276
Batch3,15,292
Batch3,16,255
Batch3,17,279
Batch3,18,233
Batch3,19,321
Batch3,20,267
Batch3,21,271
Batch3,22,225
Batch3,23,263
Batch3,24,156
Batch3,25,136
Batch3,26,158
Batch3,27,159
Batch3,28,172
Batch3,29,149
Batch3,30,227
Batch3,31,130
Batch3,32,129
Batch3,33,107
Batch3,34,140
Batch3,35,98
Batch3,36,79
Batch3,37,48
Batch3,38,66
Batch3,39,100
Batch3,40,60
Batch3,41,38
Batch3,42,26
Batch3,43,21
Batch3,44,22
Batch3,45,11
