library,type,cells
CtC57CD45CD90P1,1,59
CtC57CD45CD90P1,2,49
CtC57CD45CD90P1,3,54
CtC57CD45CD90P1,4,47
CtC57CD45CD90P1,5,40
CtC57CD45CD90P1,6,43
CtC57CD45CD90P1,7,29
CtC57CD45CD90P1,8,37
CtC57CD45CD90P1,9,37
CtC57CD45CD90P1,10,29
CtC57CD45CD90P1,11,29
CtC57CD45CD90P1,12,33
CtC57CD45CD90P1,13,27
CtC57CD45CD90P1,14,30
CtC57CD45CD90P1,15,21
CtC57CD45CD90P1,16,27
CtC57CD45CD90P1,17,12
CtC57CD45CD90P1,18,38
CtC57CD45CD90P1,19,14
CtC57CD45CD90P1,20,10
CtC57CD45CD90P1,21,13
CtC57CD45CD90P1,22,8
CtC57CD45CD90P1,23,16
CtC57CD45CD90P1,24,16
CtC57CD45CD90P1,25,16
CtC57CD45CD90P1,26,25
CtC57CD45CD90P1,27,18
CtC57CD45CD90P1,28,10
CtC57CD45CD90P1,29,9
CtC57CD45CD90P1,30,11
CtC57CD45CD90P1,31,14
CtC57CD45CD90P1,32,17
CtC57CD45CD90P1,33,6
CtC57CD45CD90P1,34,12
CtC57CD45CD90P1,35,9
CtC57CD45CD90P1,36,4
CtC57CD45CD90P1,37,3
CtC57CD45CD90P1,38,2
CtC57CD45CD90P1,39,3
CtC57CD45CD90P1,40,3
CtC57CD45CD90P1,41,3
CtC57CD45CD90P1,42,1
CtC57CD45CD90P1,43,2
CtC57CD45CD90P2,1,48
CtC57CD45CD90P2,2,43
CtC57CD45CD90P2,3,48
CtC57CD45CD90P2,4,50
CtC57CD45CD90P2,5,54
CtC57CD45CD90P2,6,37
CtC57CD45CD90P2,7,27
CtC57CD45CD90P2,8,36
CtC57CD45CD90P2,9,33
CtC57CD45CD90P2,10,34
CtC57CD45CD90P2,11,21
CtC57CD45CD90P2,12,24
CtC57CD45CD90P2,13,27
CtC57CD45CD90P2,14,22
CtC57CD45CD90P2,15,19
CtC57CD45CD90P2,16,28
CtC57CD45CD90P2,17,26
CtC57CD45CD90P2,18,38
CtC57CD45CD90P2,19,18
CtC57CD45CD90P2,20,15
CtC57CD45CD90P2,21,14
CtC57CD45CD90P2,22,14
CtC57CD45CD90P2,23,15
CtC57CD45CD90P2,24,14
CtC57CD45CD90P2,25,21
CtC57CD45CD90P2,26,14
CtC57CD45CD90P2,27,23
CtC57CD45CD90P2,28,9
CtC57CD45CD90P2,29,14
CtC57CD45CD90P2,30,13
CtC57CD45CD90P2,31,8
CtC57CD45CD90P2,32,16
CtC57CD45CD90P2,33,5
CtC57CD45CD90P2,34,10
CtC57CD45CD90P2,35,5
CtC57CD45CD90P2,36,4
CtC57CD45CD90P2,37,3
CtC57CD45CD90P2,38,3
CtC57CD45CD90P2,39,2
CtC57CD45CD90P2,40,4
CtC57CD45CD90P2,41,7
CtC57CD45CD90P2,42,1
CtC57CD45CD90P2,43,1
CtC57CD45CD90P2,44,3
CtC57CD45CD90R1,1,27
CtC57CD45CD90R1,2,13
CtC57CD45CD90R1,3,24
CtC57CD45CD90R1,4,16
CtC57CD45CD90R1,5,14
CtC57CD45CD90R1,6,10
CtC57CD45CD90R1,7,10
CtC57CD45CD90R1,8,16
CtC57CD45CD90R1,9,9
CtC57CD45CD90R1,10,9
CtC57CD45CD90R1,11,10
CtC57CD45CD90R1,12,19
CtC57CD45CD90R1,13,9
CtC57CD45CD90R1,14,6
CtC57CD45CD90R1,15,8
CtC57CD45CD90R1,16,9
CtC57CD45CD90R1,17,4
CtC57CD45CD90R1,18,10
CtC57CD45CD90R1,19,11
CtC57CD45CD90R1,20,7
CtC57CD45CD90R1,21,13
CtC57CD45CD90R1,22,4
CtC57CD45CD90R1,23,6
CtC57CD45CD90R1,24,4
CtC57CD45CD90R1,25,5
CtC57CD45CD90R1,26,5
CtC57CD45CD90R1,27,4
CtC57CD45CD90R1,28,8
CtC57CD45CD90R1,29,4
CtC57CD45CD90R1,30,7
CtC57CD45CD90R1,31,4
CtC57CD45CD90R1,32,3
CtC57CD45CD90R1,33,2
CtC57CD45CD90R1,34,5
CtC57CD45CD90R1,35,2
CtC57CD45CD90R1,36,5
CtC57CD45CD90R1,39,5
CtC57CD45CD90R1,40,1
CtC57CD45CD90R1,41,1
CtC57CD45CD90R1,45,2
CtC57CD90R1,1,241
CtC57CD90R1,2,190
CtC57CD90R1,3,123
CtC57CD90R1,4,144
CtC57CD90R1,5,128
CtC57CD90R1,6,124
CtC57CD90R1,7,89
CtC57CD90R1,8,132
CtC57CD90R1,9,63
CtC57CD90R1,10,72
CtC57CD90R1,11,78
CtC57CD90R1,12,73
CtC57CD90R1,13,85
CtC57CD90R1,14,97
CtC57CD90R1,15,52
CtC57CD90R1,16,61
CtC57CD90R1,17,62
CtC57CD90R1,18,56
CtC57CD90R1,19,58
CtC57CD90R1,20,48
CtC57CD90R1,21,65
CtC57CD90R1,22,38
CtC57CD90R1,23,42
CtC57CD90R1,24,34
CtC57CD90R1,25,61
CtC57CD90R1,26,35
CtC57CD90R1,27,49
CtC57CD90R1,28,32
CtC57CD90R1,29,39
CtC57CD90R1,30,24
CtC57CD90R1,31,40
CtC57CD90R1,32,24
CtC57CD90R1,33,32
CtC57CD90R1,34,47
CtC57CD90R1,35,25
CtC57CD90R1,36,26
CtC57CD90R1,37,15
CtC57CD90R1,38,5
CtC57CD90R1,39,15
CtC57CD90R1,40,15
CtC57CD90R1,41,13
CtC57CD90R1,42,22
CtC57CD90R1,43,13
CtC57CD90R1,44,2
CtC57CD90R1,45,4
CtVgCD45CD90R1,1,212
CtVgCD45CD90R1,2,177
CtVgCD45CD90R1,3,175
CtVgCD45CD90R1,4,149
CtVgCD45CD90R1,5,144
CtVgCD45CD90R1,6,52
CtVgCD45CD90R1,7,141
CtVgCD45CD90R1,8,84
CtVgCD45CD90R1,9,79
CtVgCD45CD90R1,10,65
CtVgCD45CD90R1,11,22
CtVgCD45CD90R1,12,74
CtVgCD45CD90R1,13,33
CtVgCD45CD90R1,14,53
CtVgCD45CD90R1,15,55
CtVgCD45CD90R1,16,63
CtVgCD45CD90R1,17,38
CtVgCD45CD90R1,18,39
CtVgCD45CD90R1,19,77
CtVgCD45CD90R1,20,44
CtVgCD45CD90R1,21,37
CtVgCD45CD90R1,22,32
CtVgCD45CD90R1,23,30
CtVgCD45CD90R1,24,19
CtVgCD45CD90R1,25,42
CtVgCD45CD90R1,26,32
CtVgCD45CD90R1,27,25
CtVgCD45CD90R1,28,33
CtVgCD45CD90R1,29,38
CtVgCD45CD90R1,30,29
CtVgCD45CD90R1,31,31
CtVgCD45CD90R1,32,17
CtVgCD45CD90R1,33,15
CtVgCD45CD90R1,34,16
CtVgCD45CD90R1,35,20
CtVgCD45CD90R1,36,10
CtVgCD45CD90R1,37,14
