reference,subtype,gene,donors,effect,positive_fraction,p,loo_min,q
all,HRGC10,ENPP2,8,-0.39130457460550727,0.25,0.12348527214454895,-0.555814550637401,0.17409782220613645
all,HRGC10,GDF6,8,0.8388744555242251,0.375,0.3454475304692257,0.40093734201351233,0.42046172449919594
all,HRGC10,GNAI1,8,0.18484837067752463,0.625,0.5754030229127536,0.04547212394854627,0.6337354945722443
all,HRGC10,CHRNB2,8,0.053576209961752275,0.75,0.6744240722352938,-0.08655515194894337,0.7211338803973979
all,HRGC10,GLDN,8,-1.8709403431822715,0.125,0.017290280592906247,-2.262699645026988,0.031898211576011526
all,HRGC10,DLGAP1,8,-0.5408408281886818,0.0,0.011718685599768632,-0.5963416485568221,0.023122070241695956
all,HRGC10,DTX3L,8,-0.25939517602872075,0.25,0.39802471950693774,-0.45238376529819657,0.46532515706725897
all,HRGC10,LPAR1,8,-0.5467068002079973,0.375,0.32698934959801507,-0.9607619439576123,0.40132584051081344
all,HRGC10,PDLIM5,8,-2.2985462235456735,0.0,0.011718685599768632,-2.554364106168373,0.023122070241695956
all,HRGC10,KIAA1217,8,-1.0410707212720536,0.25,0.03569190011680441,-1.211620023310729,0.059826423052929296
all,HRGC10,FGF18,8,0.27864576268751,0.5,0.5754030229127536,-0.05831008879387799,0.6337354945722443
all,HRGC10,MAN1A2,8,0.04326128283656805,0.5,0.5754030229127536,0.002961388479304589,0.6337354945722443
all,HRGC10,IGF1,8,0.606169156146348,0.375,0.49896229860376107,0.3326021079982463,0.564378949577519
all,HRGC10,IGFBP5,8,-2.057227450794122,0.0,0.011718685599768632,-2.3298780590548764,0.023122070241695956
all,HRGC10,IL1RAPL2,8,-2.852477546696469,0.0,0.011718685599768632,-3.047895383638521,0.023122070241695956
all,HRGC10,IRX1,8,-1.4199122383920537,0.0,0.011718685599768632,-1.6085929766661253,0.023122070241695956
all,HRGC10,SLC16A2,8,0.5806411809631955,0.625,0.40081416938293446,0.10581359965804989,0.46532515706725897
all,HRGC10,OPN4,8,-0.692578268959032,0.25,0.20757844233562428,-1.0335889039798007,0.27427782170472875
all,HRGC10,OSTF1,8,-0.6260328068051257,0.125,0.0687035743228782,-0.8018095552064005,0.1055133427646297
all,HRGC10,KSR1,8,-0.5286801461545321,0.0,0.011718685599768632,-0.5976981491752744,0.023122070241695956
all,HRGC10,SLC7A8,8,0.2729637744439125,0.875,0.025061844343883612,0.2102925653131727,0.04410884604523516
all,HRGC10,KCNC4,8,0.5021742485332599,0.875,0.025061844343883612,0.3905743911355074,0.04410884604523516
all,HRGC10,PLEKHA2,8,1.0157577099746204,0.875,0.04994997645474642,0.8249394533586537,0.08035828021970173
all,HRGC10,TMEM200A,8,0.5471355356964034,0.75,0.20757844233562428,0.25227338318617354,0.27427782170472875
all,HRGC10,SRPX2,8,0.5446228121048454,0.25,0.8657723749926214,0.2866921713954481,0.8879716666590989
all,HRGC10,TGFBR3,8,0.21306754937429467,0.5,0.5754030229127536,0.06716191337438669,0.6337354945722443
all,HRGC10,SLC44A5,8,0.4863662515860434,0.75,0.16142946236708322,0.29963432065988566,0.21821494144859177
all,HRGC10,SDK1,8,0.061768113413824155,0.625,0.6744240722352938,-0.05149847489842355,0.7211338803973979
all,HRGC10,CAV2,8,0.25525983307598543,0.625,0.2626182904425206,0.1278861418026819,0.33062102373307317
all,HRGC10,TMEM144,8,-1.6454198677633187,0.0,0.011718685599768632,-1.8395269153393596,0.023122070241695956
all,HRGC10,RBMS3,8,0.6197870931222542,0.625,0.09289194088370531,0.4920313386949923,0.13715588586855817
all,HRGC10,VAT1L,8,-0.16135678035925705,0.5,0.40081416938293446,-0.271354838123322,0.46532515706725897
all,HRGC10,HFE,8,-0.14045428196575555,0.0,0.027707849358079868,-0.1605191793894349,0.04790355095306539
all,HRGC10,BRINP1,8,-0.5965091227290362,0.0,0.011718685599768632,-0.6660112750569779,0.023122070241695956
all,HRGC10,PARM1,8,-1.1055063091010031,0.0,0.011718685599768632,-1.2075272517866047,0.023122070241695956
all,HRGC10,VEGFC,8,0.6099467654178765,0.25,0.6744240722352938,0.21610247956017162,0.7211338803973979
all,HRGC10,ITGA7,8,0.4854387062688548,0.625,0.09289194088370531,0.378116502058979,0.13715588586855817
all,HRGC10,PTPRT,8,-2.264048934145624,0.0,0.011718685599768632,-2.5388894502138832,0.023122070241695956
all,HRGC10,SHROOM3,8,0.35209243824747405,0.625,0.6744240722352938,0.07592542919948528,0.7211338803973979
all,HRGC10,CTXN3,8,-0.2061523047690318,0.0,0.017960477526078763,-0.2356026340217506,0.032996284390290835
all,HRGC10,DDX60,8,0.2461624923689527,0.625,0.8886378608950078,-0.19965097535288415,0.9030038309325714
all,HRGC10,KBTBD11,8,-0.03390378769250374,0.25,0.8657723749926214,-0.2738340239256732,0.8879716666590989
all,HRGC10,MAN1A1,8,0.143053980725778,0.625,0.8886378608950078,-0.0767714512029842,0.9030038309325714
all,HRGC10,RASGRP1,8,0.2662217599526638,0.375,0.8886378608950078,-0.1488138156329955,0.9030038309325714
all,HRGC11,ENPP2,10,0.257188382543052,0.5,0.7212766990291557,-0.00029513156152259786,0.758331535418945
all,HRGC11,GDF6,10,-0.022063529683348678,0.0,0.06788915486182899,-0.02451503298149853,0.1055133427646297
all,HRGC11,GNAI1,10,-0.08604618725691085,0.4,0.5750621301739497,-0.14352105568837606,0.6337354945722443
all,HRGC11,CHRNB2,10,-0.08240850157557053,0.5,0.7212766990291557,-0.1826299314317724,0.758331535418945
all,HRGC11,GLDN,10,-0.9298419917739761,0.1,0.02841686417486375,-1.1298422176001648,0.04884148530054707
all,HRGC11,DLGAP1,10,-0.17848211433067043,0.1,0.012515318690073973,-0.21221615798083113,0.02436610718421481
all,HRGC11,DTX3L,10,-0.40237245049735443,0.2,0.012515318690073973,-0.4569691909740307,0.02436610718421481
all,HRGC11,LPAR1,10,0.0696248560800097,0.5,0.5750621301739497,-0.06314811990244329,0.6337354945722443
all,HRGC11,PDLIM5,10,0.13221490748330816,0.6,0.24112136827741837,0.08881007712058232,0.3093102100351723
all,HRGC11,KIAA1217,10,-0.43920132803326634,0.5,0.4445867389117455,-0.6554908581953682,0.5100864801073481
all,HRGC11,FGF18,10,-0.2465940269574216,0.3,0.24112136827741837,-0.42705933896912474,0.3093102100351723
all,HRGC11,MAN1A2,10,-0.0101688902985007,0.5,0.9593536340401635,-0.045773127673370655,0.9670460457678624
all,HRGC11,IGF1,10,-0.4925095676630451,0.3,0.1688069535565081,-0.6737919439124841,0.2274886969827368
all,HRGC11,IGFBP5,10,-1.0997177685673272,0.2,0.036657928672214506,-1.393952806197753,0.061212480515272796
all,HRGC11,IL1RAPL2,10,-0.32478963559490576,0.0,0.005062032126267864,-0.35714204030469315,0.012305492461645636
all,HRGC11,IRX1,10,-0.49505464654023645,0.5,0.4445867389117455,-0.6222791715146092,0.5100864801073481
all,HRGC11,SLC16A2,10,-0.010786000830492637,0.5,0.9593536340401635,-0.18193218272776263,0.9670460457678624
all,HRGC11,OPN4,10,-0.5683926342433098,0.5,0.5750621301739497,-0.7319110463296538,0.6337354945722443
all,HRGC11,OSTF1,10,0.019874644436788592,0.6,0.6464622026641696,-0.033112392768020506,0.7031974516000857
all,HRGC11,KSR1,10,0.17355430932204213,0.7,0.11412832776223866,0.13339220435296628,0.16464414496847543
all,HRGC11,SLC7A8,10,-0.4042230234430232,0.1,0.0069104298078148,-0.4620935823750463,0.016087773097558267
all,HRGC11,KCNC4,10,0.31042673688819905,0.7,0.09260069782067576,0.20124549431199698,0.13715588586855817
all,HRGC11,PLEKHA2,10,-0.7446156566048484,0.3,0.036657928672214506,-0.8711081508824433,0.061212480515272796
all,HRGC11,TMEM200A,10,-0.1457485021565355,0.4,0.3328797545683888,-0.22604775554678794,0.40741889293488476
all,HRGC11,SRPX2,10,-0.07731417642871181,0.0,0.027707849358079868,-0.08590464047634645,0.04790355095306539
all,HRGC11,TGFBR3,10,-0.5316501363693595,0.2,0.20262160771231197,-0.7682707021449283,0.270162143616416
all,HRGC11,SLC44A5,10,2.423292173534704,0.9,0.0069104298078148,2.268004462897949,0.016087773097558267
all,HRGC11,SDK1,10,-0.3498966653517382,0.2,0.012515318690073973,-0.40281649383604484,0.02436610718421481
all,HRGC11,CAV2,10,-0.5355357514702039,0.4,0.09260069782067576,-0.6341400705762587,0.13715588586855817
all,HRGC11,TMEM144,10,-0.17240073689458052,0.3,0.2845026979112075,-0.2518442321392463,0.354483067518621
all,HRGC11,RBMS3,10,-0.2926398183734005,0.2,0.02841686417486375,-0.3532871816919117,0.04884148530054707
all,HRGC11,VAT1L,10,-0.5303167491973414,0.2,0.016604878103722732,-0.5984053212213203,0.03183506041672332
all,HRGC11,HFE,10,-0.18156217446826123,0.0,0.011718685599768632,-0.20173574940917913,0.023122070241695956
all,HRGC11,BRINP1,10,-0.2261111240012216,0.2,0.07446183141740548,-0.28021705781149986,0.11336749419951007
all,HRGC11,PARM1,10,-0.1312803855033427,0.3,0.3328797545683888,-0.19898354632214005,0.40741889293488476
all,HRGC11,VEGFC,10,0.013655375280160902,0.3,0.7212766990291557,-0.14952125483418896,0.758331535418945
all,HRGC11,ITGA7,10,-0.06694180831237126,0.5,0.7212766990291557,-0.1305509902650247,0.758331535418945
all,HRGC11,PTPRT,10,-0.5815196481016267,0.3,0.24112136827741837,-0.9785788095694853,0.3093102100351723
