threshold,reference,subtype,donors,score,p,q
10,all,HRGC10,20,-1.0446403599864578,1.9073486328125e-06,4.069010416666667e-06
10,all,HRGC11,16,-0.1865894934829179,0.0443115234375,0.054537259615384616
10,all,HRGC12,19,-0.3340639799608674,9.5367431640625e-05,0.00017951516544117648
10,all,HRGC14,11,-0.176746883042705,0.2060546875,0.2060546875
10,all,HRGC15,10,-0.8158044349076781,0.001953125,0.003125
10,all,HRGC7,44,-0.37842441104937624,1.2153122952440754e-10,5.555713349687202e-10
10,all,HRGC8,25,0.1962594903657399,0.01597297191619873,0.022223265274711277
10,all,HRGC9,20,-0.790485439029051,1.9073486328125e-06,4.069010416666667e-06
10,all,MG_OFF,89,-0.5001814552602956,2.5509729516632515e-16,4.081556722661202e-15
10,all,MG_ON,89,0.40749344081012756,2.5509729516632515e-16,4.081556722661202e-15
10,all,PG_OFF,43,-0.09650977935134665,0.00769387991408621,0.01119109805685267
10,all,PG_ON,45,0.36919424307410076,1.1567635738174431e-10,5.555713349687202e-10
10,all,ipRGC,26,0.12401744331231675,0.09407302737236023,0.10380471985915611
10,nonmidget,HRGC10,20,-1.0513951277343598,1.9073486328125e-06,4.069010416666667e-06
10,nonmidget,HRGC11,14,-0.20889294932355096,0.10400390625,0.1109375
10,nonmidget,HRGC12,19,-0.3578644587879671,0.000125885009765625,0.00022379557291666666
10,nonmidget,HRGC14,11,-0.21435054468636877,0.123046875,0.12701612903225806
10,nonmidget,HRGC15,10,-0.8493438502029488,0.001953125,0.003125
10,nonmidget,HRGC7,44,-0.4308951760199063,1.921307557495311e-11,1.229636836796999e-10
10,nonmidget,HRGC8,25,0.20750028615040947,0.034173786640167236,0.04374244689941406
10,nonmidget,HRGC9,20,-0.8005383601512076,5.7220458984375e-06,1.1444091796875e-05
10,nonmidget,PG_OFF,43,-0.12187211387097344,0.02249689523273446,0.02999586031031261
10,nonmidget,PG_ON,45,0.3798526683815145,1.794262516341405e-09,6.379600058102773e-09
10,nonmidget,ipRGC,26,0.13422263312279334,0.049346864223480225,0.0584851724130136
30,all,HRGC7,29,-0.3347834190755415,1.862645149230957e-08,5.960464477539063e-08
30,all,MG_OFF,86,-0.5134670269569466,7.989098714773312e-16,8.521705295758199e-15
30,all,MG_ON,85,0.4102960112944234,1.1690041365809683e-15,9.352033092647746e-15
30,all,PG_OFF,28,-0.09070556565246375,0.007071197032928467,0.010775157383510045
30,all,PG_ON,34,0.3690844127215736,5.820766091346741e-10,2.3283064365386963e-09
30,nonmidget,HRGC7,29,-0.36738009038067904,3.725290298461914e-08,9.934107462565105e-08
30,nonmidget,PG_OFF,28,-0.07777779767264818,0.09002415090799332,0.1028847438948495
30,nonmidget,PG_ON,34,0.3922698817708638,3.573950380086899e-08,9.934107462565105e-08
