donor_id,sampleid,author_cell_type,n_cells,tissue,study
19-D005,Chen_a_10x3_Lobe_19_D005_NeuN,MG_OFF,27,peripheral region of retina,Chen_a
19-D005,Chen_a_10x3_Lobe_19_D005_NeuN,MG_ON,4,peripheral region of retina,Chen_a
19-D005,Chen_c_10x3_19_D005,HRGC10,5,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC11,1,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC12,1,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC15,1,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC17,1,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC18,1,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC21,1,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC23,1,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC7,2,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC8,2,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,HRGC9,3,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,MG_OFF,56,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,MG_ON,21,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,PG_OFF,2,macula lutea,Chen_c_GSE247157
19-D005,Chen_c_10x3_19_D005,PG_ON,4,macula lutea,Chen_c_GSE247157
19-D008,Chen_a_10x3_Lobe_19_D008_NeuN,MG_OFF,73,peripheral region of retina,Chen_a
19-D008,Chen_a_10x3_Lobe_19_D008_NeuN,MG_ON,22,peripheral region of retina,Chen_a
19-D008,Chen_c_10x3_19_D008,MG_OFF,133,macula lutea,Chen_c_GSE247157
19-D008,Chen_c_10x3_19_D008,MG_ON,80,macula lutea,Chen_c_GSE247157
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,HRGC10,5,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,HRGC12,1,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,HRGC13,1,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,HRGC18,1,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,HRGC23,1,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,HRGC7,26,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,HRGC8,5,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,HRGC9,2,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,MG_OFF,3826,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,MG_ON,3076,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,PG_OFF,19,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,PG_ON,11,macula lutea,Chen_rgc
19-D008,Chen_rgc_10x3v31_19_D008_Mac_NeuN_T,ipRGC,14,macula lutea,Chen_rgc
19-D009,Chen_a_10x3_Lobe_19_D009_NeuN,MG_OFF,35,peripheral region of retina,Chen_a
19-D009,Chen_a_10x3_Lobe_19_D009_NeuN,MG_ON,12,peripheral region of retina,Chen_a
19-D009,Chen_c_10x3_19_D009,MG_OFF,126,macula lutea,Chen_c_GSE247157
19-D009,Chen_c_10x3_19_D009,MG_ON,93,macula lutea,Chen_c_GSE247157
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC10,3,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC14,1,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC15,1,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC18,1,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC20,1,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC21,1,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC22,1,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC23,1,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC7,40,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,HRGC8,21,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,MG_OFF,3722,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,MG_ON,2615,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,PG_OFF,25,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,PG_ON,15,macula lutea,Chen_rgc
19-D009,Chen_rgc_10x3v31_19_D009_Mac_NeuN_T,ipRGC,15,macula lutea,Chen_rgc
A23_5566_Atlanta,A23_5566_RNA_fovea,MG_OFF,219,fovea centralis,Chen_ancestry
A23_5566_Atlanta,A23_5566_RNA_fovea,MG_ON,187,fovea centralis,Chen_ancestry
BCM_22_0047,BCM_22_0047_RNA_macular,MG_OFF,86,macula lutea,Chen_ancestry
BCM_22_0047,BCM_22_0047_RNA_macular,MG_ON,35,macula lutea,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,DS_ON,3,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC10,5,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC11,1,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC12,2,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC14,1,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC16,4,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC18,1,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC20,1,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC7,19,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC8,6,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,HRGC9,6,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,MG_OFF,565,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,MG_ON,442,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,PG_OFF,22,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,PG_ON,10,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_fovea,ipRGC,23,fovea centralis,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_NeuN,HRGC11,13,peripheral region of retina,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_NeuN,HRGC14,1,peripheral region of retina,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_NeuN,HRGC7,3,peripheral region of retina,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_NeuN,HRGC9,1,peripheral region of retina,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_NeuN,MG_OFF,772,peripheral region of retina,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_NeuN,MG_ON,133,peripheral region of retina,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_NeuN,PG_ON,1,peripheral region of retina,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_NeuN,ipRGC,2,peripheral region of retina,Chen_ancestry
BCM_22_0183,BCM_22_0183_RNA_lobe_s1,MG_OFF,1,peripheral region of retina,Chen_ancestry
