reference,subtype,donors,score_without_known_markers,p_without_known_markers,studies,leave_study_out_min,leave_study_out_max,q_without_known_markers
all,HRGC10,8,-1.0389374,0.0078125,3,-1.1523226200312573,-0.8758710494355476,0.014204545454545454
all,HRGC11,10,-0.24693558,0.064453125,1,,,0.09915865384615384
all,HRGC12,8,-0.2823494,0.109375,3,-0.2860182063663808,-0.2571597399424204,0.14583333333333334
all,HRGC7,36,-0.36272562,2.561137e-09,5,-0.3323315723699738,-0.22853117144704865,1.0244548320770264e-08
all,HRGC8,12,0.06511164,0.56933594,4,0.04366294499848485,0.27787884787280215,0.5993009868421053
all,HRGC9,11,-0.88866,0.0009765625,3,-0.9586926191859257,-0.8110724328805099,0.00244140625
all,MG_OFF,87,-0.5469001,5.4601713e-16,5,-0.5170228202302295,-0.492510228632062,5.460171313161457e-15
all,MG_ON,87,0.44444486,5.4601713e-16,5,0.3666911109372362,0.41866961869961955,5.460171313161457e-15
all,PG_OFF,34,-0.105479695,0.0076929643,4,-0.1128545272881202,0.017368194919532374,0.014204545454545454
all,PG_ON,36,0.50068974,2.910383e-11,5,0.3182046466488354,0.4000856572909736,1.940255363782247e-10
all,ipRGC,15,0.10459729,0.5244751,4,-0.11137120517899571,0.23149208264050888,0.5827501085069444
nonmidget,HRGC10,8,-1.0240304,0.0078125,3,-1.1599085376971323,-0.8549736541969802,0.014204545454545454
nonmidget,HRGC11,8,-0.29738206,0.1953125,1,,,0.22977941176470587
nonmidget,HRGC12,8,-0.29951346,0.078125,3,-0.3320345638644498,-0.290475424262704,0.11160714285714286
nonmidget,HRGC7,36,-0.40277436,7.363269e-09,5,-0.40987391874211365,-0.32370776608459845,2.4544230351845424e-08
nonmidget,HRGC8,12,0.026511528,0.6772461,4,-0.03999658871769649,0.27419664382204006,0.67724609375
nonmidget,HRGC9,11,-0.9190676,0.0009765625,3,-0.9848574306503869,-0.8756885398963022,0.00244140625
nonmidget,PG_OFF,34,-0.07964252,0.05476904,4,-0.13835675245387782,0.053134160819547985,0.09128173192342122
nonmidget,PG_ON,36,0.5862782,5.820766e-11,5,0.3524819393898549,0.43913338531420126,2.9103830456733704e-10
nonmidget,ipRGC,15,0.17456022,0.13537598,4,0.016193741951557945,0.22659181675657253,0.169219970703125
