reference,subtype,donor,study,score
all,HRGC10,BCM_22_0183,Chen_ancestry,-1.045565019707385
all,HRGC10,BCM_22_0434,Chen_ancestry,-1.0007101036360875
all,HRGC10,Chen_19_D011,Chen_rgc,-1.2233361438426398
all,HRGC10,Chen_19_D014,Chen_b_GSE226108,-0.5585723936509389
all,HRGC10,Chen_19_D016,Chen_rgc,-1.6750593226001933
all,HRGC10,MMD_22_21878,Chen_ancestry,-0.9355070583602891
all,HRGC10,MMD_22_32888,Chen_ancestry,-0.612864535349837
all,HRGC10,MMD_22_38453,Chen_ancestry,-1.102007185908747
all,HRGC11,BCM_22_0200,Chen_ancestry,-0.6289473208731993
all,HRGC11,BCM_22_0389,Chen_ancestry,-0.1905496798634602
all,HRGC11,BCM_22_0434,Chen_ancestry,-0.47132308651177723
all,HRGC11,BCM_22_0784,Chen_ancestry,-0.2612622899247632
all,HRGC11,MMD_22_16477,Chen_ancestry,0.3472080722583182
all,HRGC11,MMD_22_17017,Chen_ancestry,0.1498162381811847
all,HRGC11,MMD_22_17464,Chen_ancestry,-0.6898752256580365
all,HRGC11,MMD_22_20357,Chen_ancestry,-0.24140694485332687
all,HRGC11,MMD_22_32888,Chen_ancestry,-0.3225613476707653
all,HRGC11,MMD_22_33472,Chen_ancestry,-0.030599098269463915
all,HRGC12,BCM_22_0183,Chen_ancestry,-0.4464286413619279
all,HRGC12,BCM_22_0434,Chen_ancestry,-0.017503598784790762
all,HRGC12,BCM_22_0784,Chen_ancestry,-0.4990896417079765
all,HRGC12,Chen_19_D011,Chen_rgc,-0.7290238926530597
all,HRGC12,Hu0220,Shekhar_GSE237204,-0.5270146276853367
all,HRGC12,MMD_22_20357,Chen_ancestry,-0.5704631011344381
all,HRGC12,MMD_22_20372,Chen_ancestry,-0.00342095666491292
all,HRGC12,MMD_22_37117,Chen_ancestry,0.26380238774244
all,HRGC7,19-D008,Chen_rgc,0.3857372879778471
all,HRGC7,19-D009,Chen_rgc,-0.16119698654539782
