reference,subtype,donors,score,ci_low,ci_high,positive_fraction,p,matched_gene_p,matched_gene_null_mean,loo_min,loo_max,q,matched_gene_q
all,HRGC10,8,-1.0192027203820146,-1.2583916148062895,-0.8047406524844513,0.0,0.0078125,0.0004997501249375312,0.05006245095049559,-1.0850070527721682,-0.9255089200651321,0.015625,0.0016658337497917706
all,HRGC11,10,-0.23395006831852894,-0.4176437063648595,-0.03222262823559882,0.2,0.064453125,0.13843078460769614,-0.0032594421617845367,-0.2985231950492897,-0.18329171750302808,0.0892243511043489,0.19775826372528021
all,HRGC12,8,-0.3161427590312503,-0.5291676069300635,-0.07121430451713301,0.125,0.0390625,0.09845077461269365,0.013707774277652287,-0.39899206571320606,-0.25715973994242036,0.06510416666666667,0.16408462435448942
all,HRGC7,36,-0.3099277007246544,-0.37540434489693236,-0.23690812603097014,0.05555555555555555,1.862645149230957e-08,0.0399800099950025,0.004561738455344201,-0.3298038432590116,-0.30093977906199415,6.20881716410319e-08,0.079960019990005
all,HRGC8,12,0.18081989467990214,-0.061935438357803206,0.42608636318428866,0.75,0.17626953125,0.22138930534732634,0.0274833155152766,0.09766078684301432,0.24492122757596455,0.1958550347222222,0.29518574046310175
all,HRGC9,11,-0.8530479039857248,-0.9711161551664117,-0.7338419078984663,0.0,0.0009765625,0.0004997501249375312,0.03491952089545383,-0.8855399775424591,-0.8174652764499213,0.00244140625,0.0016658337497917706
all,MG_OFF,87,-0.5064764568545096,-0.5374927809041253,-0.47656865462521086,0.0,5.460181414946209e-16,0.0004997501249375312,-0.008740463799554359,-0.5097895341775243,-0.501591434599807,5.460181414946209e-15,0.0016658337497917706
all,MG_ON,87,0.4030203883569667,0.3690407913801209,0.4374562345864854,1.0,5.460181414946209e-16,0.0004997501249375312,-0.01842758313055897,0.39722582380976235,0.4070326578246872,5.460181414946209e-15,0.0016658337497917706
all,PG_OFF,34,-0.08276081193043065,-0.1459820975914789,-0.02000675118125421,0.3235294117647059,0.014553519897162914,0.5677161419290355,0.0016856022415295754,-0.09480774409544285,-0.07052789091846744,0.026460945267568935,0.5792103948025987
all,PG_ON,36,0.37581556671057587,0.31834822048846784,0.43094760571076324,0.9444444444444444,1.4551915228366852e-10,0.0384807596201899,0.0258335046581106,0.3639489227479285,0.3882049944190802,9.701276818911235e-10,0.079960019990005
all,ipRGC,15,0.14195343765312893,-0.07730944705914163,0.3688420351151361,0.6666666666666666,0.25238037109375,0.4512743628185907,0.005026126532564365,0.0862434192092897,0.19032422139745067,0.26566354851973684,0.501415958687323
nonmidget,HRGC10,8,-1.028556966996165,-1.3296704436538849,-0.7102584059400049,0.0,0.0078125,0.0004997501249375312,-0.02431593468310915,-1.1599085376971323,-0.9300120249011138,0.015625,0.0016658337497917706
nonmidget,HRGC11,8,-0.31291268347059376,-0.6116007295770477,-0.01791019931439316,0.25,0.109375,0.10744627686156921,-0.05868379614702809,-0.40114985839946204,-0.19180782164567844,0.12867647058823528,0.16530196440241415
nonmidget,HRGC12,8,-0.3602847945244761,-0.6034729588018991,-0.10349499556786013,0.25,0.0546875,0.047976011994003,-0.06418335789750244,-0.45156711203699296,-0.290475424262704,0.08413461538461539,0.08722911271636909
nonmidget,HRGC7,36,-0.36797667746910734,-0.44427365647576933,-0.28743694212771115,0.1111111111111111,4.918547347187996e-09,0.015992003998001,-0.06475672464410676,-0.3834287111532926,-0.3560391674686337,2.459273673593998e-08,0.04569143999428856
nonmidget,HRGC8,12,0.13439362090156962,-0.1432541462544845,0.4334204441844815,0.6666666666666666,0.4697265625,0.3613193403298351,-0.01950601190955739,0.02663410525239196,0.20436256269973738,0.4697265625,0.4516491754122939
nonmidget,HRGC9,11,-0.898895054592262,-1.0161329870613949,-0.7871941236693362,0.0,0.0009765625,0.0004997501249375312,-0.03841167535477146,-0.9223386374571536,-0.8654817422569255,0.00244140625,0.0016658337497917706
nonmidget,PG_OFF,34,-0.08865059067996126,-0.17330645685961046,-0.007618969617720191,0.35294117647058826,0.06691826332826167,0.5792103948025987,-0.07214428801025917,-0.1037388907557593,-0.06576465977975793,0.0892243511043489,0.5792103948025987
nonmidget,PG_ON,36,0.4061699629403767,0.3188993826546027,0.4866648465410814,0.9722222222222222,8.934875950217247e-09,0.019490254872563718,-0.04586384370290394,0.39289529742491325,0.42969970242430444,3.573950380086899e-08,0.04872563718140929
nonmidget,ipRGC,15,0.1784983797960867,0.02092360916248768,0.3477230558659635,0.6666666666666666,0.0946044921875,0.39480259870064965,-0.07063603369568133,0.13043538123827517,0.2154592584416752,0.118255615234375,0.46447364553017606
