mouse,human,atlas_effect,control_effect,auc,p,q,min_batch_loo_effect,max_batch_loo_effect
Enpp2,ENPP2,2.2680506683878163,2.1740596350018646,0.9060150375939848,0.0007600465339641,0.048389690020241,2.0430796313273443,2.5530105546236013
Gdf6,GDF6,2.6917879881723743,2.385556129440753,0.9736842105263158,7.95250961973827e-05,0.048389690020241,2.523694586504402,2.8101303660431065
Gnai1,GNAI1,1.2368445304053486,1.1708314607069168,0.9097744360902256,0.0006792459367751,0.048389690020241,1.112684807771939,1.3281375670554434
Chrnb2,CHRNB2,1.1213219511696169,1.391156519490048,0.9661654135338346,0.0001099266293169,0.048389690020241,1.0535863474023517,1.158335908996877
Gldn,GLDN,3.2107537826686663,2.997615472930144,0.8928571428571429,0.0006503613823249,0.048389690020241,3.190155564341063,3.2258270297192166
Dlgap1,DLGAP1,1.7052358925485187,1.4732203629621656,0.9360902255639098,0.0002979954701326,0.048389690020241,1.6565944179907364,1.750808516941647
Dtx3l,DTX3L,1.202826299159934,0.9802613910544538,0.924812030075188,0.0004263640122608,0.048389690020241,1.085331406201405,1.29216041587345
Lpar1,LPAR1,1.5595568406516174,1.010100997409905,0.8909774436090225,0.0010350789486368,0.048389690020241,1.3660389332033385,1.715101667540628
Pdlim5,PDLIM5,1.8407545661793132,1.223227857596766,0.9135338345864662,0.0006055007757643,0.048389690020241,1.7380654576393222,1.9199616116870848
Etl4,KIAA1217,2.2558255206886617,2.7205928384229088,0.9060150375939848,0.0007612701107166,0.048389690020241,2.1532176972938317,2.3249220700558264
Fgf18,FGF18,1.7259859752101558,1.68830772811474,0.8947368421052632,0.0010617360500662,0.048389690020241,1.6036641137400367,1.8053640906761563
Man1a2,MAN1A2,1.284858526581485,1.1550078560648285,0.9398496240601504,0.0002639271722873,0.048389690020241,1.2233083791105337,1.3204990433557953
Igf1,IGF1,4.316486882278211,4.150863279049922,0.943609022556391,0.0002335368691689,0.048389690020241,4.173509687700957,4.39837639539275
Igfbp5,IGFBP5,3.154769913019536,2.608275696203584,0.8947368421052632,0.0010657949453826,0.048389690020241,3.021601799570104,3.2342346989296433
Il1rapl2,IL1RAPL2,1.907111590532061,1.649961974459107,0.9060150375939848,0.0004643637272759,0.048389690020241,1.8836187352671048,1.94783597489552
Irx1,IRX1,1.7785942196181148,1.5042525757042378,0.9097744360902256,0.0006029364624733,0.048389690020241,1.5782985909332914,1.9541549659808015
Slc16a2,SLC16A2,1.322532616500923,1.2757106253354011,0.9398496240601504,0.0001484912869922,0.048389690020241,1.2973018909771397,1.3708092719191445
Opn4,OPN4,5.581539800086764,5.639836130472392,0.9285714285714286,0.0003788372418932,0.048389690020241,5.441302822313884,5.718943324855466
Ostf1,OSTF1,1.4314753201205184,1.5853529620371996,0.9135338345864662,0.0006055007757643,0.048389690020241,1.4054744476704473,1.451930702581106
Ksr1,KSR1,1.179210170084379,0.6390122812652512,0.9022556390977444,0.0008524133205349,0.048389690020241,1.1227971215369794,1.2498734547095838
Slc7a8,SLC7A8,1.2647186215063773,0.7950996083174484,0.8909774436090225,0.0011901078977817,0.049783951724061,1.2516028829664685,1.2861943306726973
Kcnc4,KCNC4,1.1229051637637513,1.3425102123373067,0.8984962406015038,0.0009535901089435,0.048389690020241,1.065869687498318,1.157037455451385
Plekha2,PLEKHA2,2.1353956055447307,1.9193564977236752,0.9398496240601504,0.0002626950208688,0.048389690020241,2.0494218315207866,2.1852547411462235
Tmem200a,TMEM200A,2.314790990619752,2.44166786259939,0.9097744360902256,0.0006737042915365,0.048389690020241,2.2818564415464966,2.364501316346705
Srpx2,SRPX2,1.7062089026620189,1.452350553593816,0.8796992481203008,0.0010657351943149,0.048389690020241,1.667857377713929,1.7591977171879143
Tgfbr3,TGFBR3,1.0854133573471143,0.8845517230033497,0.9360902255639098,0.0002979954701326,0.048389690020241,1.047990550097117,1.115107391057979
