mouse,human,atlas_effect,control_effect,auc,p,q,min_batch_loo_effect,max_batch_loo_effect
Sox12,SOX12,0.13689513390525132,0.26425547996482557,0.6203007518796992,0.3239052476775729,0.5410045926889205,-0.07118944346872258,0.3413070398191467
Fry,FRY,0.29094487946747183,-0.07470108666429631,0.8270676691729323,0.006751426870487882,0.07710295165284167,0.26537781630930457,0.3113477420845614
Ywhae,YWHAE,-0.16421622911123102,-0.06934283576450007,0.34962406015037595,0.21608889627253147,0.42921872354044177,-0.16943343522880205,-0.16040795188699875
Camkv,CAMKV,-0.2806224909361177,0.4755465049793681,0.4774436090225564,0.8632489890081102,0.9285080853458766,-0.4362077835557079,-0.00298118456582408
Tst,TST,-0.049912075597759564,0.09797519392854859,0.5281954887218046,0.8264268269477008,0.9164899991714484,-0.12211056215839922,0.06487363320166817
Mpst,MPST,-0.15229174947678503,0.02958796506719219,0.38345864661654133,0.33950279404506545,0.5565693096564415,-0.3114579684667005,-0.04390962858639247
Hs3st1,HS3ST1,0.28457962725297703,-0.548256128976496,0.5338345864661654,0.7900937911896396,0.8889450542759227,0.2133731648032673,0.37538048180567074
Hs3st2,HS3ST2,0.9492775489403926,1.1212524195020523,0.6428571428571429,0.24024987870349757,0.4565074677168024,0.8437670121523491,1.0608408462095467
Hs3st3b1,HS3ST3B1,-0.7935798771827284,-1.2128968016711767,0.3101503759398496,0.11737948090329592,0.30710035657271306,-0.9630993752572007,-0.6979177672469347
Hs3st3a1,HS3ST3A1,-0.6280016501538951,-0.4932507050749844,0.2706766917293233,0.05785089707739346,0.2045259022568979,-0.637976837854871,-0.612026864147364
Hs3st4,HS3ST4,2.176507245069276,1.8055961287270548,0.849624060150376,0.003770372170280916,0.06478659503056546,1.869315224069299,2.3635475510812682
Rps11,RPS11,0.16136898031907343,0.2856442780252415,0.6203007518796992,0.3239052476775729,0.5410045926889205,0.12971646595671515,0.18708793172309335
Tnfrsf9,TNFRSF9,-0.44215891284457465,-0.1466411273852699,0.2951127819548872,0.09081051915547689,0.26593148622116447,-0.5160857899909663,-0.4016757980007669
Bsg,BSG,0.08600609514242841,0.24403234318531375,0.6127819548872181,0.3555738985646425,0.5727437082590845,0.07899982331304578,0.0935676783344821
Gm6525,RPL36AL,-0.07850943171767888,-0.24621382153365046,0.41353383458646614,0.481048323333079,0.6825239739973527,-0.21648983975483213,0.04547434236814307
Rpl6,RPL6,0.06866672401791885,0.2517539942866378,0.6052631578947368,0.38912837885385465,0.60455902954774,-0.003850613613872511,0.12190970361575104
Hs6st1,HS6ST1,0.5638438950609741,0.2992702130629188,0.7593984962406015,0.03193935772365684,0.14888592922183774,0.5514317167267562,0.5832024102798172
Kdsr,KDSR,0.06495451112477113,-0.34392274826802716,0.7030075187969925,0.09385111744605337,0.26651999256419273,0.036439447378953105,0.07992819419977248
Map9,MAP9,0.20658573084934329,0.20414648909611888,0.7744360902255639,0.023181259199553498,0.1264216230467837,0.17441641301949762,0.24404808414442947
Tnfaip3,TNFAIP3,0.42238741491174625,0.018902036685818246,0.7180451127819549,0.07171448396823545,0.2297582994518827,0.3208952439334001,0.5364643202809694
Rbfox1,RBFOX1,-0.6881906296707889,-0.7028770672555122,0.23308270676691728,0.027258119924963804,0.13726147044270548,-0.7288214178239754,-0.6192815409562371
Aak1,AAK1,0.10650934054904493,0.07022535098775684,0.518796992481203,0.8879303817619925,0.9427085963782978,0.055934599673022944,0.18065098312606143
Abca3,ABCA3,0.35827359477327914,0.3847754950966049,0.6954887218045113,0.10678990056200999,0.2870605052652442,0.24763171089336833,0.4382945721843088
Abcb4,ABCB4,0.396872409567808,0.04873210571834652,0.7556390977443609,0.034468402778304506,0.1548762387084403,0.331268827727377,0.45517546286531096
Tap1,TAP1,0.7266341014871326,0.19681372345571502,0.7349624060150376,0.05210654859323861,0.19470660462960257,0.6916655251834968,0.7480290878069564
Tap2,TAP2,1.2790859060214608,1.0133245912117537,0.8120300751879699,0.009777585726426657,0.0857862175793082,1.0341231228808916,1.5432769016247818
Abcb6,ABCB6,0.18159361147175623,0.15051807819568377,0.7105263157894737,0.082200871584331,0.24813554992578185,0.041151910763764565,0.2716850664165755
Cftr,CFTR,0.11750425558580069,-0.01271157191509853,0.5714285714285714,0.5623000861302827,0.7410222862399987,0.07652324864596638,0.14545771767968851
Abcg4,ABCG4,0.23401618329561114,-0.01220454453251918,0.6015037593984962,0.40660505129530145,0.62057554221334,0.20457221121667768,0.27838408370682544
Abhd10,ABHD10,-0.0689263396516937,-0.14305761939848516,0.424812030075188,0.5414190808064263,0.7260307015880628,-0.13325097797071983,0.00325492399611349
Abhd17a,ABHD17A,-0.00819931049482392,0.029006104676363442,0.49624060150375937,0.9875071015898251,0.9935561496853218,-0.10688344879066314,0.0851146799503173
Abhd2,ABHD2,0.3093364778477987,0.4672436294599063,0.631578947368421,0.2799581070148759,0.49830312306759345,0.2616395483537235,0.34316955643580016
Ephx4,EPHX4,-0.4313052609133514,-0.618547993297434,0.2518796992481203,0.04024555166296232,0.16785009952338542,-0.4393462388333278,-0.4207216502656639
Abhd8,ABHD8,-0.27998489997052367,-0.23317347940313926,0.08646616541353383,0.0006055007757643453,0.048389690020241065,-0.2929161611432374,-0.2614147566969329
Abi1,ABI1,-0.04827800586222075,-0.16349201860527973,0.42857142857142855,0.5623515890563371,0.7410222862399987,-0.09452578130732814,-0.0172858167455594
Adcy5,ADCY5,0.6132346578350063,0.7344361278636669,0.9135338345864662,0.0006055007757643453,0.048389690020241065,0.5930399513410762,0.6322084723955399
Acap2,ACAP2,0.22213827152243226,-0.0002713190412046984,0.7443609022556391,0.04339340696899899,0.17402548022863543,0.0932713826196716,0.3528420879944436
Acaca,ACACA,0.13114879789143785,0.006296897931278522,0.6203007518796992,0.3239052476775729,0.5410045926889205,0.057053287281467746,0.17414799454448815
Asic2,ASIC2,0.013922900614299571,0.24039582266530868,0.45112781954887216,0.6954615729451195,0.8352269148627999,-0.024754235423791293,0.07495816623147622
Asic3,ASIC3,-0.20169683184391946,-0.3981606219262549,0.462406015037594,0.763309617668555,0.8755993938673546,-0.22800543448245886,-0.16160594239793175
Asic1,ASIC1,0.2816233291801238,0.499156288437661,0.6541353383458647,0.2046867508553436,0.4155874059813366,0.1110603315069345,0.4150199341326135
Furin,FURIN,0.19430081973323032,0.2783909073962345,0.6616541353383458,0.18320740145534176,0.39177550581173887,0.10018694217206736,0.256588119337378
Macf1,MACF1,0.10611226517378469,-0.05613631278630837,0.6804511278195489,0.1368760019470291,0.3284847584328251,0.08687421186093491,0.12914042230604128
Larp6,LARP6,-0.26176253239529856,-0.4218468824077428,0.2706766917293233,0.058140365266868194,0.2045259022568979,-0.2667307750493144,-0.25317147488883585
Acin1,ACIN1,0.057854113590551925,-0.1147036679231146,0.6541353383458647,0.2046867508553436,0.4155874059813366,0.021360652984199646,0.08583926248223683
Tnk2,TNK2,0.28590258447752603,0.39389571364992104,0.6691729323308271,0.16344544596679556,0.3656895404653725,0.20700758133281116,0.3755630166537456
Acly,ACLY,0.4832860949503264,0.3879656723532925,0.7105263157894737,0.082200871584331,0.24813554992578185,0.4509962072015252,0.5127067559970087
Sdhaf3,SDHAF3,-0.12159129671966529,0.10474141327418263,0.3233082706766917,0.14533473101499367,0.3405168052667221,-0.19343391610201177,0.00023921792035341838
Acot11,ACOT11,0.0768667767713479,0.4761780447018851,0.5338345864661654,0.7900937911896396,0.8889450542759227,-0.10393349296715781,0.2711162980517513
Pxylp1,PXYLP1,-0.20975630481031438,-0.5573370664574064,0.43609022556390975,0.6053519967912697,0.7723528046791971,-0.40556604062491486,-0.06765246998048102
Acsl1,ACSL1,-0.09417986117981947,-0.3264750066952855,0.3609022556390977,0.25301944346559635,0.47068190607382504,-0.15091957068962536,0.0024796877744099888
Acsl3,ACSL3,0.005145525517948002,-0.00804787288549047,0.4924812030075188,0.9625335527087988,0.9804411536894276,-0.013535495689063204,0.022506601921712388
Acsl4,ACSL4,0.27810650720037966,0.20873097930895135,0.7593984962406015,0.03193935772365684,0.14888592922183774,0.26113341146072955,0.30188910016598935
Traf3ip2,TRAF3IP2,0.28940778386495536,0.5817373862172495,0.650375939849624,0.21608889627253147,0.42921872354044177,0.20169059482891782,0.4234522965526879
Inhba,INHBA,0.4878626165994181,0.35193851334951043,0.6973684210526315,0.041887078830518225,0.17402548022863543,0.42533014990132945,0.6078775254827053
