reference_all,subtype,gene,donors_all,effect_all,positive_fraction_all,p_all,loo_min_all,q_all,reference_nm,donors_nm,effect_nm,positive_fraction_nm,p_nm,loo_min_nm,q_nm,minimum_effect
all,ipRGC,PTPRT,15,6.725204738608628,1.0,0.0006549583433856,6.643073910409563,0.0022691470164543,nonmidget,15,3.5515015598583797,1.0,0.0006549583433856,3.4290650142311043,0.0022691470164543,3.5515015598583797
all,PG_ON,MAN1A1,36,5.461278319574036,1.0,1.680295787277147e-07,5.422595032847517,1.8716997688066983e-06,nonmidget,36,3.340066641296709,1.0,1.680295787277147e-07,3.302720777853777,1.8716997688066983e-06,3.340066641296709
all,HRGC8,IGF1,12,3.2041372188477744,1.0,0.002217721464237,3.063246677145213,0.0065932259747587,nonmidget,12,3.2831852289304475,1.0,0.002217721464237,3.1072197154143213,0.0065932259747587,3.2041372188477744
all,ipRGC,RASGRP1,15,3.3607755722303874,1.0,0.0006549583433856,3.311033608970561,0.0022691470164543,nonmidget,15,2.9995231815373904,1.0,0.0006549583433856,2.938207531290576,0.0022691470164543,2.9995231815373904
all,PG_ON,IGFBP5,36,4.688889072433479,1.0,1.680295787277147e-07,4.6158365239366015,1.8716997688066983e-06,nonmidget,36,2.86809286523412,1.0,1.680295787277147e-07,2.8175799942996163,1.8716997688066983e-06,2.86809286523412
all,ipRGC,KIAA1217,15,3.7955861868792935,1.0,0.0006549583433856,3.632106881909142,0.0022691470164543,nonmidget,15,2.457119416617568,1.0,0.0006549583433856,2.3225653052048414,0.0022691470164543,2.457119416617568
all,PG_ON,PTPRT,36,5.052792027553725,1.0,1.680295787277147e-07,4.988526380747357,1.8716997688066983e-06,nonmidget,36,2.4360649285893876,0.9444444444444444,3.576364843288816e-07,2.3530797706618074,2.5511850852911936e-06,2.4360649285893876
all,ipRGC,OPN4,15,4.328378895697385,1.0,0.0006549583433856,4.209138086992358,0.0022691470164543,nonmidget,15,2.284996579939848,0.8666666666666667,0.0031429285311656,2.0110706812585337,0.008608608017394,2.284996579939848
all,ipRGC,GLDN,15,1.793874349085349,1.0,0.0006549583433856,1.5835655804826403,0.0022691470164543,nonmidget,15,2.8738338081072454,1.0,0.0006549583433856,2.7279905691920554,0.0022691470164543,1.793874349085349
all,HRGC9,LPAR1,11,1.7078980832622692,0.9090909090909092,0.0058470757973204,1.4473154052558457,0.0139442458039079,nonmidget,11,2.328129738623432,1.0,0.0033456181158508,2.11125543097493,0.008608608017394,1.7078980832622692
all,HRGC11,SLC44A5,10,2.423292173534704,0.9,0.0069104298078148,2.268004462897949,0.0160877730975582,nonmidget,8,1.6704943708478954,0.875,0.0250618443438836,1.4885578943695357,0.0441088460452351,1.6704943708478954
all,HRGC8,SLC44A5,12,2.3150274526802743,1.0,0.002217721464237,2.186202442383774,0.0065932259747587,nonmidget,12,1.6228707626563008,0.9166666666666666,0.0060395590486568,1.3464988341613915,0.0143256387137951,1.6228707626563008
all,HRGC8,SHROOM3,12,2.2298967647595975,1.0,0.002217721464237,2.110844142121373,0.0065932259747587,nonmidget,12,1.6054348531976097,0.9166666666666666,0.0028734139278525,1.4822144556023125,0.0084006785930572,1.6054348531976097
all,HRGC11,KBTBD11,10,1.7973536262675065,0.9,0.0069104298078148,1.6945743291853104,0.0160877730975582,nonmidget,8,1.502924420203156,0.875,0.0250618443438836,1.3075147772449751,0.0441088460452351,1.502924420203156
all,HRGC7,KIAA1217,36,2.856384975208124,0.9722222222222222,1.829161137697455e-07,2.797365459830002,1.8716997688066983e-06,nonmidget,36,1.4956297272104968,0.8611111111111112,3.5759443469322924e-06,1.4366507763941316,1.9187994056709866e-05,1.4956297272104968
all,ipRGC,OSTF1,15,1.3909203417862943,1.0,0.0006549583433856,1.3297316170949784,0.0022691470164543,nonmidget,15,1.547988451967441,1.0,0.0006549583433856,1.4572524029564422,0.0022691470164543,1.3909203417862943
all,PG_OFF,SDK1,34,2.451330692073236,1.0,3.6528331903033e-07,2.423791850134199,2.5511850852911936e-06,nonmidget,34,1.2196932743385442,1.0,3.6528331903033e-07,1.2055882042188013,2.5511850852911936e-06,1.2196932743385442
all,HRGC9,PARM1,11,1.205487437487486,1.0,0.0033456181158508,1.1557158191688253,0.008608608017394,nonmidget,11,1.72665570053843,1.0,0.0033456181158508,1.6929956653166276,0.008608608017394,1.205487437487486
all,HRGC9,KCNC4,11,1.3591885232602037,1.0,0.0033456181158508,1.2862227396612476,0.008608608017394,nonmidget,11,1.0400842290160002,0.9090909090909092,0.0044390926567921,0.9516454434036742,0.0110350325931556,1.0400842290160002
all,PG_ON,KCNC4,36,1.0865927065251666,0.9722222222222222,1.829161137697455e-07,1.0573993548046885,1.8716997688066983e-06,nonmidget,36,1.0381313106782757,1.0,1.680295787277147e-07,1.010792645510184,1.8716997688066983e-06,1.0381313106782757
all,ipRGC,RBMS3,15,1.4754141912794794,1.0,0.0006549583433856,1.4324685414401996,0.0022691470164543,nonmidget,15,0.9762644029470732,1.0,0.0006549583433856,0.9426467892083028,0.0022691470164543,0.9762644029470732
all,PG_OFF,PLEKHA2,34,2.59160939646441,1.0,3.6528331903033e-07,2.5691633657062787,2.5511850852911936e-06,nonmidget,34,0.9548258050129252,1.0,3.6528331903033e-07,0.912722186222481,2.5511850852911936e-06,0.9548258050129252
all,HRGC9,SLC7A8,11,1.257208083604266,1.0,0.0033456181158508,1.1971913264142269,0.008608608017394,nonmidget,11,0.7494836307117996,1.0,0.0033456181158508,0.6970914070569456,0.008608608017394,0.7494836307117996
all,HRGC8,KIAA1217,12,2.681264548310464,1.0,0.002217721464237,2.555861966544758,0.0065932259747587,nonmidget,12,0.6978148249449531,0.8333333333333334,0.0186029299011357,0.5983971798570628,0.0339638554211606,0.6978148249449531
all,HRGC9,RASGRP1,11,1.0088137578237444,1.0,0.0033456181158508,0.9200818691962648,0.008608608017394,nonmidget,11,0.6720485078351717,1.0,0.0033456181158508,0.5632677429749972,0.008608608017394,0.6720485078351717
all,PG_ON,CAV2,36,0.6599288285491925,0.9722222222222222,1.990738731181765e-07,0.6429207627526342,1.9251099818021462e-06,nonmidget,36,1.116390543977084,0.9722222222222222,1.829161137697455e-07,1.077741707108668,1.8716997688066983e-06,0.6599288285491925
all,HRGC12,RBMS3,8,1.0307831240392504,1.0,0.0117186855997686,0.927825085048326,0.0231220702416959,nonmidget,8,0.6439618883388755,1.0,0.0117186855997686,0.506175715835326,0.0231220702416959,0.6439618883388755
