,,effect,effect,q,q,positive_fraction,positive_fraction
reference,,all,nonmidget,all,nonmidget,all,nonmidget
gene,subtype,,,,,,
CAV2,PG_ON,0.6599288285491925,1.116390543977084,1.9251099818021462e-06,1.8716997688066983e-06,0.9722222222222222,0.9722222222222222
DDX60,PG_ON,0.6882700705320068,0.5371727189087623,6.451859919427615e-06,0.0003068921023211,0.8611111111111112,0.8055555555555556
GLDN,ipRGC,1.793874349085349,2.8738338081072454,0.0022691470164543,0.0022691470164543,1.0,1.0
GNAI1,PG_OFF,0.5262310668031075,0.7028985928219836,2.5511850852911936e-06,2.6847796507095576e-06,1.0,0.9705882352941176
IGF1,HRGC8,3.2041372188477744,3.2831852289304475,0.0065932259747587,0.0065932259747587,1.0,1.0
IGFBP5,PG_ON,4.688889072433479,2.86809286523412,1.8716997688066983e-06,1.8716997688066983e-06,1.0,1.0
KBTBD11,HRGC11,1.7973536262675065,1.502924420203156,0.0160877730975582,0.0441088460452351,0.9,0.875
KCNC4,HRGC9,1.3591885232602037,1.0400842290160002,0.008608608017394,0.0110350325931556,1.0,0.9090909090909092
KCNC4,PG_ON,1.0865927065251666,1.0381313106782757,1.8716997688066983e-06,1.8716997688066983e-06,0.9722222222222222,1.0
KIAA1217,HRGC7,2.856384975208124,1.4956297272104968,1.8716997688066983e-06,1.9187994056709866e-05,0.9722222222222222,0.8611111111111112
KIAA1217,HRGC8,2.681264548310464,0.6978148249449531,0.0065932259747587,0.0339638554211606,1.0,0.8333333333333334
KIAA1217,ipRGC,3.7955861868792935,2.457119416617568,0.0022691470164543,0.0022691470164543,1.0,1.0
LPAR1,HRGC9,1.7078980832622692,2.328129738623432,0.0139442458039079,0.008608608017394,0.9090909090909092,1.0
MAN1A1,PG_ON,5.461278319574036,3.340066641296709,1.8716997688066983e-06,1.8716997688066983e-06,1.0,1.0
OPN4,ipRGC,4.328378895697385,2.284996579939848,0.0022691470164543,0.008608608017394,1.0,0.8666666666666667
OSTF1,ipRGC,1.3909203417862943,1.547988451967441,0.0022691470164543,0.0022691470164543,1.0,1.0
PARM1,HRGC12,0.5459131790904658,0.9545023689530544,0.0441088460452351,0.0231220702416959,0.875,1.0
PARM1,HRGC9,1.205487437487486,1.72665570053843,0.008608608017394,0.008608608017394,1.0,1.0
PLEKHA2,HRGC12,2.289133755396438,0.529524804609546,0.0231220702416959,0.0318982115760115,1.0,0.875
PLEKHA2,PG_OFF,2.59160939646441,0.9548258050129252,2.5511850852911936e-06,2.5511850852911936e-06,1.0,1.0
PTPRT,PG_ON,5.052792027553725,2.4360649285893876,1.8716997688066983e-06,2.5511850852911936e-06,1.0,0.9444444444444444
PTPRT,ipRGC,6.725204738608628,3.5515015598583797,0.0022691470164543,0.0022691470164543,1.0,1.0
RASGRP1,HRGC9,1.0088137578237444,0.6720485078351717,0.008608608017394,0.008608608017394,1.0,1.0
RASGRP1,ipRGC,3.3607755722303874,2.9995231815373904,0.0022691470164543,0.0022691470164543,1.0,1.0
RBMS3,HRGC12,1.0307831240392504,0.6439618883388755,0.0231220702416959,0.0231220702416959,1.0,1.0
RBMS3,HRGC9,0.9077964394583614,0.5518741412022163,0.008608608017394,0.008608608017394,1.0,1.0
RBMS3,ipRGC,1.4754141912794794,0.9762644029470732,0.0022691470164543,0.0022691470164543,1.0,1.0
SDK1,PG_OFF,2.451330692073236,1.2196932743385442,2.5511850852911936e-06,2.5511850852911936e-06,1.0,1.0
SHROOM3,HRGC8,2.2298967647595975,1.6054348531976097,0.0065932259747587,0.0084006785930572,1.0,0.9166666666666666
SLC44A5,HRGC11,2.423292173534704,1.6704943708478954,0.0160877730975582,0.0441088460452351,0.9,0.875
SLC44A5,HRGC8,2.3150274526802743,1.6228707626563008,0.0065932259747587,0.0143256387137951,1.0,0.9166666666666666
SLC7A8,HRGC9,1.257208083604266,0.7494836307117996,0.008608608017394,0.008608608017394,1.0,1.0
TMEM144,HRGC7,0.9320757946711632,0.6195006770987708,1.8716997688066983e-06,2.5511850852911936e-06,1.0,0.9722222222222222
