mouse,human,atlas_effect,control_effect,auc,p,q,min_batch_loo_effect,max_batch_loo_effect,direction
Opn4,OPN4,5.581539800086764,5.639836130472392,0.9285714285714286,0.0003788372418932123,0.048389690020241065,5.441302822313884,5.718943324855466,1.0
Rasgrp1,RASGRP1,4.0561479595849255,4.000441076695815,0.9624060150375939,0.00012492689877676336,0.048389690020241065,3.768757837191984,4.296075854906321,1.0
Prkcq,PRKCQ,4.489270988875718,4.618822786221989,0.8082706766917294,0.010650424697340777,0.08880446005065139,4.391583575923849,4.552964157487293,1.0
Gldn,GLDN,3.2107537826686663,2.997615472930144,0.8928571428571429,0.0006503613823249437,0.048389690020241065,3.190155564341063,3.2258270297192166,1.0
Ndnf,NDNF,4.2076613547184225,3.9327234957162873,0.8872180451127819,0.0013277005688379195,0.05148988768524557,3.95817592931783,4.355566263282601,1.0
Ctxn3,CTXN3,4.567418807748286,4.538273772159043,0.924812030075188,0.00042655074972362334,0.048389690020241065,4.254029686086059,4.726968418036454,1.0
Gdf6,GDF6,2.6917879881723743,2.3855561294407526,0.9736842105263158,7.95250961973827e-05,0.048389690020241065,2.5236945865044014,2.8101303660431065,1.0
Eomes,EOMES,4.359794721473674,4.376343577486154,0.8421052631578947,0.004593749314525572,0.0684301036031075,4.296557421789529,4.39546271164029,1.0
Ifitm10,IFITM10,3.039880291674375,2.9788718108005696,0.868421052631579,0.0022630757948311478,0.05642029810818993,2.994121269372478,3.127498965290579,1.0
Igf1,IGF1,4.316486882278211,4.150863279049922,0.943609022556391,0.00023353686916892822,0.048389690020241065,4.173509687700957,4.39837639539275,1.0
Cd24a,CD24,3.493828899169209,3.611996678230729,0.849624060150376,0.003765787313223502,0.06478659503056546,3.2523271443638566,3.7250163933129885,1.0
Man1a,MAN1A1,3.121051504404451,2.649445551238463,0.9511278195488722,0.00018234242757555672,0.048389690020241065,2.9536668896597176,3.223655816573075,1.0
Vat1l,VAT1L,3.4555948918414376,3.260669087005702,0.9022556390977443,0.0008524133205349651,0.048389690020241065,3.2396300047389714,3.6682327592107815,1.0
Tbx20,TBX20,3.36862807839326,3.2390224126269294,0.8609022556390977,0.0027832994539244084,0.058543637666443916,3.297217237748341,3.4237347819116204,1.0
Ptprt,PTPRT,3.061452421427429,3.069540743121423,0.9285714285714286,0.0003781630279732372,0.048389690020241065,2.876723397331901,3.1840473301421888,1.0
Tmem255b,TMEM255B,2.556220339835964,2.444215666575651,0.8345864661654135,0.0029102363019361094,0.06082671915185465,2.476779439767969,2.6108161102415197,1.0
Dmrtb1,DMRTB1,2.8743214756559294,2.493123571830281,0.8308270676691729,0.005940014360144433,0.07487341794367006,2.6953314528717427,3.004241369187049,1.0
Parm1,PARM1,2.907289089752298,2.6452432304233233,0.9473684210526315,0.0002064540577992356,0.048389690020241065,2.7404991473322924,3.0230776331115536,1.0
Dgkg,DGKG,3.1180189339296085,3.203090707816269,0.8796992481203008,0.0016479066033768606,0.053660259046985875,2.974975369467137,3.2653432820728856,1.0
Prph,PRPH,3.177070766411532,3.199407913431859,0.8120300751879699,0.009777585726426657,0.0857862175793082,3.0837075621513175,3.2278467706579645,1.0
Plekha2,PLEKHA2,2.1353956055447307,1.9193564977236752,0.9398496240601504,0.00026269502086886584,0.048389690020241065,2.0494218315207866,2.1852547411462235,1.0
Nppb,NPPB,3.0615840543003197,2.821039035765466,0.8308270676691729,0.005999802380371936,0.07487341794367006,2.8812071982877328,3.1767011235517955,1.0
Vim,VIM,1.9228540429753824,1.8982095024413974,0.8796992481203008,0.0016455704678257825,0.053660259046985875,1.6585206785332507,2.193834615202812,1.0
Enpp2,ENPP2,2.2680506683878163,2.1740596350018646,0.9060150375939849,0.0007600465339641951,0.048389690020241065,2.0430796313273443,2.5530105546236013,1.0
Igfbp2,IGFBP2,2.8356072420667253,2.6538855191006903,0.8721804511278195,0.002037858542737,0.055379177770874824,2.601165755592273,3.081623841772413,1.0
Rgs10,RGS10,-1.5748716493001398,-1.7541822699775498,0.10526315789473684,0.0010657949453826935,0.048389690020241065,-1.708949178301622,-1.316739131066445,-1.0
Mgll,MGLL,-1.3424653041874217,-1.3852401020070628,0.07894736842105263,0.0004798294003252833,0.048389690020241065,-1.4334546408436468,-1.2383561350466978,-1.0
Phgdh,PHGDH,-1.765570098753202,-1.6402834936689916,0.14285714285714285,0.0030824534909078462,0.06082671915185465,-1.8656591993054026,-1.637277566595945,-1.0
Mei4,MEI4,-1.4275716221062185,-1.3924071642420306,0.10150375939849623,0.0009535901089435302,0.048389690020241065,-1.683381445155086,-1.1147975726706898,-1.0
Lmo1,LMO1,-1.496066259393472,-2.0501783796501925,0.09774436090225563,0.0008524133205349651,0.048389690020241065,-1.6471878325580551,-1.2496835497404266,-1.0
Myo1b,MYO1B,-1.339450921913092,-1.562402194108162,0.09398496240601503,0.0007612701107166174,0.048389690020241065,-1.4741150866590464,-1.1057047031896703,-1.0
Pdzd2,PDZD2,-1.2804813082244357,-0.9736070343262226,0.12781954887218044,0.002037858542737,0.055379177770874824,-1.556306806235055,-0.953303951765577,-1.0
Lamb1,LAMB1,-1.6631999530675707,-1.3823102489947265,0.18796992481203006,0.009777585726426657,0.0857862175793082,-1.9139715569330202,-1.2926122357708945,-1.0
Rbpms2,RBPMS2,-1.1879770600402058,-1.0936710222997847,0.07894736842105263,0.0004798294003252833,0.048389690020241065,-1.2903017039143077,-1.03190614071924,-1.0
Nell2,NELL2,-1.1984876335503927,-1.4568517560593595,0.15037593984962405,0.003770372170280916,0.06478659503056546,-1.3280298188974502,-1.0480030736575028,-1.0
Plch2,PLCH2,-1.155225464309253,-0.7486324629178323,0.09774436090225563,0.0008524133205349651,0.048389690020241065,-1.372310042153563,-0.7699662954780502,-1.0
Lrrc7,LRRC7,-1.2533228167687227,-1.2298012806239953,0.16541353383458646,0.005579946348994655,0.07255229426300501,-1.4721597742404753,-0.993331010457756,-1.0
Calb2,CALB2,-1.353633839639354,-1.3701421564207923,0.15413533834586465,0.004164244190646533,0.06672947398182372,-1.4593362853790506,-1.1538812967190673,-1.0
Hpcal1,HPCAL1,-1.298720737924258,-1.5311423998075648,0.15037593984962405,0.003770372170280916,0.06478659503056546,-1.4148798409734065,-1.1703702101527744,-1.0
Rxrg,RXRG,-1.2726501462139073,-1.2269230077043733,0.24060150375939848,0.03193935772365684,0.14888592922183774,-1.3996918615584804,-1.0550045501676362,-1.0
Kcnj5,KCNJ5,-1.4620219337279061,-0.9100687853542548,0.24812030075187969,0.03729353091148002,0.16088507020097348,-1.5312174897254738,-1.343057018543878,-1.0
Alcam,ALCAM,-1.3719064746398288,-1.143053700377605,0.22556390977443608,0.023181259199553498,0.1264216230467837,-1.6126780416984765,-0.9450577613643558,-1.0
Nfe2l2,NFE2L2,-1.1203117616201839,-0.9270088566931487,0.14285714285714285,0.0030824534909078462,0.06082671915185465,-1.262518208832669,-0.974648994314609,-1.0
Ptn,PTN,-1.1871998029292126,-1.2308101454727867,0.18421052631578946,0.008924999678694952,0.08334725870513707,-1.2708719501695347,-1.0664518506022853,-1.0
Bcl11b,BCL11B,-1.4175290931751556,-1.5186242690882632,0.17293233082706766,0.006751426870487882,0.07710295165284167,-1.6542207126824189,-0.9672397425427133,-1.0
Aldh2,ALDH2,-1.1067587153178486,-1.279243811082035,0.08646616541353383,0.0006055007757643453,0.048389690020241065,-1.2540717413950309,-0.8192453885061015,-1.0
Klc3,KLC3,-1.300418887243227,-1.3540869545596066,0.16165413533834586,0.005065923476836049,0.07037475038903213,-1.3566902418293707,-1.2294864194774617,-1.0
Crtac1,CRTAC1,-1.2871002082999636,-1.3639585930329634,0.17293233082706766,0.006751426870487882,0.07710295165284167,-1.383870376120604,-1.1581657594847492,-1.0
Neurod1,NEUROD1,-1.2382827570251966,0.0,0.17293233082706766,0.006751426870487882,0.07710295165284167,-1.404392295992392,-1.0151315699341334,-1.0
Dpysl4,DPYSL4,-0.9002423509057147,-1.396907455939409,0.06390977443609022,0.00029799547013264344,0.048389690020241065,-0.944835229640236,-0.8644372478038633,-1.0
