DB Class Key	Common Organism Name	NCBI Taxon ID	Symbol	EntrezGene ID	Mouse MGI ID	HGNC ID	OMIM Gene ID	Genetic Location	Genome Coordinates (mouse: GRCm39 human: GRCh38)	Nucleotide RefSeq IDs	Protein RefSeq IDs	SWISS_PROT IDs
52061356	mouse, laboratory	10090	Aldh1l1	107747	MGI:1340024			Chr6 40.16 cM	Chr6:90527751-90576153(+)	NM_001356412,NM_027406,XM_030255052	NP_081682,NP_001343341,XP_030110912	Q8R0Y6
52061356	human	9606	ALDH1L1	10840		HGNC:3978	OMIM:600249	Chr3 q21.3	Chr3:126103561-126197994(-)	NM_001270365,NM_001270364,NM_012190,NM_144776	NP_001257294,NP_001257293,NP_036322,XP_054201007,XP_054201006,XP_054201005,XP_054201004,XP_054201003,XP_024309093,XP_016861103,XP_016861102,XP_011510657,XP_006713544	O75891
52061357	mouse, laboratory	10090	Sry	21674	MGI:98660			ChrY syntenic	ChrY:2662471-2663658(-)	NM_011564	NP_035694	Q05738
52061357	human	9606	SRY	6736		HGNC:11311	OMIM:480000	ChrY p11.2	ChrY:2786855-2787682(-)	NM_003140	NP_003131	Q05066
52061358	mouse, laboratory	10090	Sox12	20667	MGI:98360			Chr2 74.94 cM	Chr2:152235531-152239966(-)	NM_011438	NP_035568	Q04890
52061358	human	9606	SOX12	6666		HGNC:11198	OMIM:601947	Chr20 p13	Chr20:325552-330224(+)	NM_006943	NP_008874	O15370
52061359	mouse, laboratory	10090	Fry	320365	MGI:2443895			Chr5 89.36 cM	Chr5:150042110-150421218(+)	XM_006504931,XM_011241024,XM_006504926,XM_006504928,XM_006504932,XM_006504933,XM_030254574,XM_006504929,XM_006504927,NM_172887,XM_006504930	XP_006504994,XP_006504991,XP_006504990,XP_006504996,XP_030110434,XP_006504989,NP_766475,XP_006504995,XP_011239326,XP_006504992,XP_006504993	E9Q8I9
52061359	human	9606	FRY	10129		HGNC:20367	OMIM:614818	Chr13 q13.1	Chr13:31846713-32299125(+)	NM_001411012,NM_001446203,NM_001446204,NM_023037	XP_054229948,XP_054229949,NP_075463,NP_001433133,NP_001433132,NP_001397941,XP_054229950,XP_054229951,XP_016875795,XP_047285955,XP_006719812,XP_047285956	Q5TBA9
52061360	mouse, laboratory	10090	Rpe65	19892	MGI:98001			Chr3 82.52 cM	Chr3:159304812-159330958(+)	NM_029987,XM_006501165	NP_084263,XP_006501228	Q91ZQ5
52061360	human	9606	RPE65	6121		HGNC:10294	OMIM:180069	Chr1 p31.3	Chr1:68428822-68451103(-)	NM_001406853,NM_001406860,NM_001406859,NM_001406857,NM_001406856,NM_000329	NP_001393789,NP_001393786,NP_001393788,NP_000320,NP_001393782,NP_001393785	Q16518
52061361	mouse, laboratory	10090	Ywhae	22627	MGI:894689			Chr11 45.92 cM	Chr11:75623695-75656671(+)	XM_036156631,NM_009536	XP_036012524,NP_033562	P62259
52061361	human	9606	YWHAE	7531		HGNC:12851	OMIM:605066	Chr17 p13.3	Chr17:1344275-1400255(-)	NM_006761	NP_006752	P62258
52061362	mouse, laboratory	10090	Camkv	235604	MGI:2384296			Chr9 59.07 cM	Chr9:107813097-107826882(+)	NM_145621,NM_001409937	NP_663596,NP_001396866	Q3UHL1
52061362	human	9606	CAMKV	79012		HGNC:28788	OMIM:614993	Chr3 p21.31	Chr3:49857214-49869935(-)	NM_001320147,NM_024046	NP_001307076,NP_076951	Q8NCB2
52061363	mouse, laboratory	10090	Hsd3b8	100043456	MGI:3711284			Chr3 42.8 cM	Chr3:98459858-98471301(-)	XM_017319411,XM_006500808,NM_001270429	NP_001257358,XP_006500871,XP_017174900	
52061363	human	9606	HSD3B1	3283		HGNC:5217	OMIM:109715	Chr1 p12	Chr1:119507198-119515058(+)	NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862	NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853	P14060,P14060,P14060,P14060,P14060,P14060,P14060,P14060
52061363	human	9606	HSD3B2	3284		HGNC:5218	OMIM:613890	Chr1 p12	Chr1:119413725-119423035(+)	NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198	NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592	P26439,P26439,P26439,P26439,P26439,P26439,P26439,P26439
52061364	mouse, laboratory	10090	Hsd3b9	100043461	MGI:3782634			Chr3 42.77 cM	Chr3:98352991-98364442(-)	NM_001370870,XM_011240355,XM_001480498,XM_017319861	NP_001357799,XP_017175350,XP_001480548,XP_011238657	
